id,title,year,venue,citation_count,source,doi,arxiv_id
697104e8-46ef-486b-bf5d-b2761ed4bd7c,LLAssist: Simple Tools for Automating Literature Review Using Large Language Models,2024,arXiv.org,8,traverse_bwd,10.48550/arXiv.2407.13993,2407.13993
93798b0d-a0db-46aa-83a8-35a7b9647763,Impact of Active learning model and prior knowledge on discovery time of elusive relevant papers: a simulation study,2024,Systematic Reviews,8,traverse_fwd,10.1186/s13643-024-02587-0,
09ec8e20-33a9-4c35-b06b-dbb98402f010,RLStop: A Reinforcement Learning Stopping Method for TAR,2024,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,8,traverse_fwd,10.1145/3626772.3657911,2405.02525
b099937a-4938-4fa5-8da9-3cefd09e0072,Replicating a High-Impact Scientific Publication Using Systems of Large Language Models,2024,bioRxiv,7,traverse_bwd,10.1101/2024.04.08.588614,
a589cc08-fe30-4531-85b5-2bea85078d90,Combining Large Language Model Classifications and Active Learning for Improved Technology-Assisted Review,2024,IAL@PKDD/ECML,6,traverse_fwd,,
805775d0-27a5-44e3-9e18-65873ae26b06,A Reproducibility Study of Goldilocks: Just-Right Tuning of BERT for TAR,2024,European Conference on Information Retrieval,6,traverse_bwd,10.1007/978-3-031-56066-8_13,2401.08104
2d1b1854-01e0-465c-a88b-f1d26f980dd5,Large Language Model-Based Architecture for Automatic Outcome Data Extraction to Support Meta-Analysis,2024,Computing and Communication Workshop and Conference,6,traverse_bwd,10.1109/CCWC60891.2024.10427829,
f029f0da-8994-4f81-a48b-4a0b150e27b1,Addressing the challenges of reconstructing systematic reviews datasets: a case study and a noisy label filter procedure,2024,Systematic Reviews,6,traverse_fwd,10.1186/s13643-024-02472-w,
33ad9ac4-1cf8-4052-8d25-918ae0a5412e,Empowering Interdisciplinary Research with BERT-Based Models: An Approach Through SciBERT-CNN with Topic Modeling,2024,arXiv.org,6,traverse_bwd,10.48550/arXiv.2404.13078,2404.13078
fb028249-9841-446a-9577-aebc6929de8d,LLMs in HCI Data Work: Bridging the Gap Between Information Retrieval and Responsible Research Practices,2024,arXiv.org,5,traverse_bwd,10.48550/arXiv.2403.18173,2403.18173
b3f4f435-5427-48e7-a09b-047cfde70393,Streamlining the Selection Phase of Systematic Literature Reviews (SLRs) Using AI-Enabled GPT-4 Assistant API,2024,arXiv.org,4,traverse_bwd,10.48550/arXiv.2402.18582,2402.18582
77af75e8-1f3a-437b-9df6-dddaf4b0e476,Large Language Models-aided Literature Reviews: A Study on Few-Shot Relevance Classification,2024,Advanced Industrial Conference on Telecommunications,3,traverse_fwd,10.1109/AICT61888.2024.10740404,
ff5ee511-da71-43be-8ab2-c3ad592fb71a,Contextualized AI for Cyber Defense: An Automated Survey Using LLMs,2024,International Conference on Security of Information and Networks,3,traverse_fwd,10.1109/SIN63213.2024.10871242,2409.13524
87dbd881-5c0f-4406-83c3-0d12c082ca0d,Technology Assisted Review Systems: Current and Future Directions,2024,ALTARS@ECIR,2,traverse_fwd,,
eea50eb6-463b-4ff2-8e1a-fddc7c7c775e,"NACSOS-nexus: NLP Assisted Classification, Synthesis and Online Screening with New and EXtended Usage Scenarios",2024,arXiv.org,2,traverse_fwd,10.48550/arXiv.2405.04621,2405.04621
02c4913c-81f5-4da1-8c08-24c07deba3b2,Systematic Review on Healthcare Systems Engineering utilizing ChatGPT,2024,arXiv.org,1,traverse_bwd,10.48550/arXiv.2405.11817,2405.11817
18b335de-9287-4735-9182-a217ede87982,Generative AI --- The End of Systematic Reviews in PhD Projects?,2024,Inroads,1,traverse_bwd,10.1145/3657304,
93d6a91b-493b-4fc6-b002-9b28020e6033,Accuracy and reliability of data extraction for systematic reviews using large language models: A protocol for a prospective study,2024,medRxiv,1,traverse_bwd,10.1101/2024.05.22.24307740,
bb47a468-863e-4f6f-b91c-9e209c055686,A Summary of Advances in Document Summarization from 2023-2024,2024,,0,traverse_fwd,10.2172/2462994,
68632eca-28a7-41b3-b053-c668c335608d,Retrieval-Augmented Generation for Large Language Models: A Survey,2023,arXiv.org,3630,traverse_bwd,,2312.10997
dbc8997a-a67c-4597-90b9-caaa9d77b47c,Enabling Large Language Models to Generate Text with Citations,2023,Conference on Empirical Methods in Natural Language Processing,665,traverse_bwd,10.48550/arXiv.2305.14627,2305.14627
3828cb30-119c-467f-84f4-23551244d63f,Large Language Models for Information Retrieval: A Survey,2023,ACM Trans. Inf. Syst.,581,traverse_bwd,10.1145/3748304,2308.07107
8db83ec5-a5c7-4edf-8ae7-6bee780d78fe,Can ChatGPT Write a Good Boolean Query for Systematic Review Literature Search?,2023,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,238,traverse_bwd,10.1145/3539618.3591703,2302.03495
92ad1da7-5c12-415e-a8b7-3048fa53230b,Can large language models replace humans in systematic reviews? Evaluating GPT‐4's efficacy in screening and extracting data from peer‐reviewed and grey literature in multiple languages,2023,Research Synthesis Methods,212,traverse_bwd,10.1002/jrsm.1715,2310.17526
a2645a53-77c6-44eb-90a4-2fc2a833014c,PaperQA: Retrieval-Augmented Generative Agent for Scientific Research,2023,arXiv.org,195,traverse_bwd,10.48550/arXiv.2312.07559,2312.07559
fcb0cdb8-42db-4c44-82e1-d707cd63906e,The Semantic Scholar Open Data Platform,2023,arXiv.org,182,traverse_bwd,10.48550/arXiv.2301.10140,2301.10140
a0a96883-d47e-4075-a3e4-4551ea883fe2,Automated Paper Screening for Clinical Reviews Using Large Language Models: Data Analysis Study,2023,Journal of Medical Internet Research,180,traverse_bwd,10.2196/48996,2305.00844
fb26c0ca-c733-4b49-9b98-6d9b190b6e25,Are ChatGPT and large language models “the answer” to bringing us closer to systematic review automation?,2023,Systematic Reviews,174,traverse_bwd,10.1186/s13643-023-02243-z,
756a65c8-cb9c-4daf-93df-d5ef9bc5678d,"Harnessing the Power of ChatGPT for Automating Systematic Review Process: Methodology, Case Study, Limitations, and Future Directions",2023,Syst.,160,traverse_bwd,10.3390/systems11070351,
ff4a28dd-1181-4ced-887a-e7e2846f7c82,Data extraction for evidence synthesis using a large language model: A proof‐of‐concept study,2023,medRxiv,129,traverse_bwd,10.1002/jrsm.1710,
1ffd6869-7a7a-4a6b-a8ef-770af9209cf7,Clinfo.ai: An Open-Source Retrieval-Augmented Large Language Model System for Answering Medical Questions using Scientific Literature,2023,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,71,traverse_bwd,10.48550/arXiv.2310.16146,2310.16146
4a84f07a-bddc-4e3e-9800-51fbf53fb939,Application ChatGPT in conducting systematic reviews and meta-analyses,2023,British Dental Journal,57,traverse_bwd,10.1038/s41415-023-6132-y,
11927149-2a5c-4e7f-a20c-cbec33cac038,Applications of the Natural Language Processing Tool ChatGPT in Clinical Practice: Comparative Study and Augmented Systematic Review,2023,JMIR Medical Informatics,55,traverse_bwd,10.2196/48933,
24265237-cd41-406b-a5ed-4c3433efc9ec,Examining the Validity of ChatGPT in Identifying Relevant Nephrology Literature: Findings and Implications,2023,Journal of Clinical Medicine,46,traverse_bwd,10.3390/jcm12175550,
e6d40177-b439-4766-8b2b-ce403cb021af,The use of artificial intelligence for automating or semi-automating biomedical literature analyses: A scoping review,2023,Journal of Biomedical Informatics,45,traverse_fwd,10.1016/j.jbi.2023.104389,
a846f60f-3ce3-4dd3-8c0f-856c30b47d95,Truth or Lies? The Pitfalls and Limitations of ChatGPT in Systematic Review Creation,2023,Aesthetic surgery journal,40,traverse_bwd,10.1093/asj/sjad093,
f9150d1e-4a78-4e69-b812-0d9130b90444,Can artificial intelligence separate the wheat from the chaff in systematic reviews of health economic articles?,2023,Expert review of pharmacoeconomics & outcomes research,38,traverse_fwd,10.1080/14737167.2023.2234639,
265c0285-7b32-443d-9960-c9bdfccedc1d,Zero-Shot Information Extraction for Clinical Meta-Analysis using Large Language Models,2023,Workshop on Biomedical Natural Language Processing,37,traverse_bwd,10.18653/v1/2023.bionlp-1.37,
3f12f4fa-afb9-463c-9265-e3138b77f42a,"Active learning-based systematic reviewing using switching classification models: the case of the onset, maintenance, and relapse of depressive disorders",2023,Frontiers in Research Metrics and Analytics,34,traverse_bwd,10.3389/frma.2023.1178181,
63390b75-1958-4f30-8770-327905734644,Appraising the Potential Uses and Harms of LLMs for Medical Systematic Reviews,2023,Conference on Empirical Methods in Natural Language Processing,31,traverse_bwd,10.48550/arXiv.2305.11828,2305.11828
ada2bc52-4fa5-44b5-a20f-a08682949fa4,Leveraging the Potential of Generative AI to Accelerate Systematic Literature Reviews: An Example in the Area of Educational Technology,2023,2023 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),30,traverse_bwd,10.1109/WEEF-GEDC59520.2023.10344098,
b0223f3a-4865-4d41-b7b8-7780b39e766f,Reducing Literature Screening Workload With Machine Learning,2023,Zeitschrift für Psychologie,30,traverse_fwd,10.1027/2151-2604/a000509,
8dfbfb21-796d-4eda-81b0-4d42e629b960,Assessing the Ability of ChatGPT to Screen Articles for Systematic Reviews,2023,arXiv.org,30,traverse_bwd,10.48550/arXiv.2307.06464,2307.06464
b5d9ff65-42be-4353-8b5b-ffe52ce33d36,Using LLM (Large Language Model) to Improve Efficiency in Literature Review for Undergraduate Research,2023,LLM@AIED,29,traverse_bwd,,
9748bc29-c11f-4282-b9f5-997048b23e66,Comparative study of ChatGPT and human evaluators on the assessment of medical literature according to recognised reporting standards,2023,BMJ Health & Care Informatics,29,traverse_bwd,10.1136/bmjhci-2023-100830,
ee381452-49a4-449a-ae4a-81d8961b1a5f,SciReviewGen: A Large-scale Dataset for Automatic Literature Review Generation,2023,Annual Meeting of the Association for Computational Linguistics,26,traverse_bwd,10.48550/arXiv.2305.15186,2305.15186
f6598bb8-1919-471f-b3c3-0af6c4285fab,Using ChatGPT and other forms of generative AI in systematic reviews: Challenges and opportunities.,2023,Journal of Medical Imaging and Radiation Sciences,17,traverse_bwd,10.1016/j.jmir.2023.11.005,
71990a8a-d538-4bf5-9256-e4fe6370847e,Stopping Methods for Technology-assisted Reviews Based on Point Processes,2023,ACM Trans. Inf. Syst.,16,traverse_fwd,10.1145/3631990,2311.08597
e87275b8-fc05-4ba7-8e9f-ce18c78d2b1d,ChatGPT for assessing risk of bias of randomized trials using the RoB 2.0 tool: A methods study,2023,medRxiv,16,traverse_bwd,10.1101/2023.11.19.23298727,
2d551578-1238-4145-9a73-8de8d6828581,Hierarchical Catalogue Generation for Literature Review: A Benchmark,2023,Conference on Empirical Methods in Natural Language Processing,16,traverse_bwd,10.48550/arXiv.2304.03512,2304.03512
3d4ab588-20d5-47bd-ade4-6a545fb3d89b,Evaluation of a prototype machine learning tool to semi-automate data extraction for systematic literature reviews,2023,Systematic Reviews,15,traverse_bwd,10.1186/s13643-023-02351-w,
cfc6ec08-7ebd-4d9c-be3f-7375107bb30c,Effectiveness of Generative Artificial Intelligence for Scientific Content Analysis,2023,Advanced Industrial Conference on Telecommunications,15,traverse_bwd,10.1109/AICT59525.2023.10313167,
b11c3663-9cfd-428a-8b4f-f0f55a752dde,Utilizing ChatGPT to select literature for meta-analysis shows workload reduction while maintaining a similar recall level as manual curation,2023,medRxiv,15,traverse_bwd,10.1101/2023.09.06.23295072,
2f2572f2-89a4-4ebe-afc0-032e744c5e4d,Bio-SIEVE: Exploring Instruction Tuning Large Language Models for Systematic Review Automation,2023,arXiv.org,14,traverse_bwd,10.48550/arXiv.2308.06610,2308.06610
3e7fe3ac-ef61-4091-9a50-86106c6ff640,Generating Natural Language Queries for More Effective Systematic Review Screening Prioritisation,2023,SIGIR-AP,13,traverse_bwd,10.1145/3624918.3625322,2309.05238
b777fe18-cda3-4dc0-8bdb-65095ae5b1a6,Cocreating an Automated mHealth Apps Systematic Review Process With Generative AI: Design Science Research Approach,2023,JMIR Medical Education,10,traverse_bwd,10.2196/48949,
239fc334-44fa-4c81-81e2-263f40e7e4d4,Automated title and abstract screening for scoping reviews using the GPT-4 Large Language Model,2023,arXiv.org,9,traverse_bwd,10.48550/arXiv.2311.07918,2311.07918
6a7f5b75-794e-4ae0-afe2-2b180eeefc43,GEAR-Up: Generative AI and External Knowledge-based Retrieval Upgrading Scholarly Article Searches for Systematic Reviews,2023,AAAI Conference on Artificial Intelligence,9,traverse_bwd,10.48550/arXiv.2312.09948,2312.09948
d74ad71f-1422-41d3-9971-eb59660df96d,ADVISE: Accelerating the Creation of Evidence Syntheses for Global Development using Natural Language Processing-supported Human-AI Collaboration,2023,Journal of Mechanical Design,8,traverse_bwd,10.1115/1.4064245,
1d5d2ced-c8d2-43f7-905b-a53bf5cff93b,BERT for Complex Systematic Review Screening to Support the Future of Medical Research,2023,Conference on Artificial Intelligence in Medicine in Europe,8,traverse_bwd,10.1007/978-3-031-34344-5_21,
76cf095b-c73a-4e16-a31b-874bfc5bb634,Utility of Artificial Intelligence in Orthopedic Surgery Literature Review: A Comparative Pilot Study.,2023,Orthopedics,8,traverse_bwd,10.3928/01477447-20231220-02,
648d86c7-ef7f-48b9-b1c8-360aed7cf9d6,Semi-automating abstract screening with a natural language model pretrained on biomedical literature,2023,Systematic Reviews,6,traverse_bwd,10.1186/s13643-023-02353-8,
a9f12071-d853-4f6a-bd01-6ddc185b8bdb,Automatic Aspect Extraction from Scientific Texts,2023,"International Joint Conference on the Analysis of Images, Social Networks and Texts",6,traverse_bwd,10.48550/arXiv.2310.04074,2310.04074
f000ae86-19bd-480f-aa54-c22404600bc8,SAL_τ: efficiently stopping TAR by improving priors estimates,2023,Data mining and knowledge discovery,6,traverse_fwd,10.1007/s10618-023-00961-5,
44058626-4a4a-4a7e-90f6-a6efb3e1baaf,SciMine: An Efficient Systematic Prioritization Model Based on Richer Semantic Information,2023,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,5,traverse_bwd,10.1145/3539618.3591764,
0485001e-027f-4f0b-9474-4a6ca2999201,Development of meta-prompts for Large Language Models to screen titles and abstracts for diagnostic test accuracy reviews,2023,medRxiv,5,traverse_bwd,10.1101/2023.10.31.23297818,
